CODIGOFATURA,DATAFATURA,DATAPAGAMENTO,VALOR,CODIGOITEM,QUANTIDADE,SUBTOTAL,PRECOUNITARIO,VENDEDOR,CLIENTE,PRODUTO
166,03/11/2011,06/11/2011,"1493,71",641,1,"8,99","8,99",Emili  Mcdonald,Kaify,Cooler Master Red LED Case Fan
173,12/11/2011,13/11/2011,"612,9",663,1,"49,99","49,99",Emili  Mcdonald,Digister,Inch Midtower Case
112,16/07/2011,19/07/2011,"1833,56",452,2,"1499,98","749,99",Emili  Mcdonald,Kaify,GeForce GTX 590 Classified
97,27/06/2011,29/06/2011,"1597,55",391,1,39,39,José  Gardner,Spoint Sistemas de Informação,USB Portable Sound Card / Dac
78,30/05/2011,02/06/2011,"1833,56",325,2,"17,98","8,99",Maria  Yang,Agilvee,Cooler Master Red LED Case Fan
51,06/04/2011,07/04/2011,"865,16",221,1,"200,2","200,2",Emili  Mcdonald,Kaify,PCI Express 2.0 2DVI
178,25/11/2011,01/12/2011,"2646,8",683,2,"99,98","49,99",Benedito  Perry,Kaify,Inch Midtower Case
141,20/09/2011,22/09/2011,"1833,56",556,2,"99,98","49,99",José  Gardner,Kaify,Inch Midtower Case
20,18/02/2011,19/02/2011,"1664,54",113,2,"123,96","61,98",José  Gardner,Truing Tecnologia,ATX Motherboard
113,19/07/2011,20/07/2011,"3784,84",456,2,"99,98","49,99",Emili  Mcdonald,Spoint Sistemas de Informação,Inch Midtower Case
70,12/05/2011,15/05/2011,"1380,09",292,3,1197,399,Aladdin  Blackwell,Kaify,i7-2700K 3.5 GHz LGA 1155 Processor
189,17/12/2011,18/12/2011,"1622,8",722,2,"99,98","49,99",Maria  Yang,Digister,Inch Midtower Case
14,05/02/2011,09/02/2011,"3917,35",81,1,399,399,Maria  Yang,Kaify,i7-2700K 3.5 GHz LGA 1155 Processor
75,25/05/2011,26/05/2011,"11342,3",314,2,798,399,Maria  Yang,Kaify,i7-2700K 3.5 GHz LGA 1155 Processor
52,07/04/2011,13/04/2011,"11342,3",230,2,"1499,98","749,99",Emili  Mcdonald,Kaify,GeForce GTX 590 Classified
76,28/05/2011,31/05/2011,"2984,6",316,3,"2249,97","749,99",Emili  Mcdonald,Truing Tecnologia,GeForce GTX 590 Classified
107,11/07/2011,17/07/2011,"3056,08",439,1,399,399,Maria  Yang,Truing Tecnologia,i7-2700K 3.5 GHz LGA 1155 Processor
170,05/11/2011,08/11/2011,"2604,61",656,3,"26,97","8,99",Maria  Yang,Mecabox Info,Cooler Master Red LED Case Fan
11,30/01/2011,03/02/2011,"943,08",57,1,399,399,Emili  Mcdonald,Kaify,i7-2700K 3.5 GHz LGA 1155 Processor
122,03/08/2011,06/08/2011,"2594,5",490,2,"400,4","200,2",Benedito  Perry,Kaify,PCI Express 2.0 2DVI
16,11/02/2011,14/02/2011,"2464,39",93,2,"400,4","200,2",Emili  Mcdonald,Spoint Sistemas de Informação,PCI Express 2.0 2DVI
92,17/06/2011,18/06/2011,"899,69",373,2,"123,96","61,98",José  Gardner,Kaify,ATX Motherboard
36,16/03/2011,17/03/2011,"2472,45",176,1,399,399,Maria  Yang,Triloo Assistência Técnica,i7-2700K 3.5 GHz LGA 1155 Processor
15,07/02/2011,11/02/2011,"2472,45",92,1,"749,99","749,99",Aladdin  Blackwell,Digister,GeForce GTX 590 Classified
34,15/03/2011,18/03/2011,"574,92",162,2,"123,96","61,98",Emili  Mcdonald,Kaify,ATX Motherboard
160,27/10/2011,28/10/2011,"524,21",623,1,"749,99","749,99",José  Gardner,Kaify,GeForce GTX 590 Classified
99,29/06/2011,01/07/2011,"2472,45",405,1,"61,98","61,98",Maria  Yang,Spoint Sistemas de Informação,ATX Motherboard
55,09/04/2011,11/04/2011,"566,09",241,1,39,39,Maria  Yang,Truing Tecnologia,USB Portable Sound Card / Dac
122,03/08/2011,06/08/2011,"2594,5",485,2,"400,4","200,2",Maria  Yang,Truing Tecnologia,PCI Express 2.0 2DVI
83,03/06/2011,05/06/2011,"420,91",340,2,"1499,98","749,99",José  Gardner,Kaify,GeForce GTX 590 Classified
163,28/10/2011,03/11/2011,"222,96",631,1,"8,99","8,99",Maria  Yang,Tadoo,Cooler Master Red LED Case Fan
179,27/11/2011,29/11/2011,"517,89",688,2,78,39,Emili  Mcdonald,Levester Tecnologia,USB Portable Sound Card / Dac
39,25/03/2011,27/03/2011,"647,89",186,2,798,399,Emili  Mcdonald,Kaify,i7-2700K 3.5 GHz LGA 1155 Processor
94,18/06/2011,21/06/2011,"541,46",382,1,"749,99","749,99",José  Gardner,Triloo Assistência Técnica,GeForce GTX 590 Classified
11,30/01/2011,03/02/2011,"943,08",59,2,"99,98","49,99",Emili  Mcdonald,Digister,Inch Midtower Case
111,14/07/2011,20/07/2011,"429,95",449,2,78,39,Aladdin  Blackwell,Tadoo,USB Portable Sound Card / Dac
6,17/01/2011,18/01/2011,"4784,35",40,1,"61,98","61,98",Maria  Yang,Kaify,ATX Motherboard
179,27/11/2011,29/11/2011,"517,89",687,1,"8,99","8,99",Benedito  Perry,Kaify,Cooler Master Red LED Case Fan
188,17/12/2011,18/12/2011,"427,82",718,3,"185,94","61,98",Maria  Yang,Kaify,ATX Motherboard
175,18/11/2011,22/11/2011,"427,82",670,3,"2249,97","749,99",Emili  Mcdonald,Mecabox Info,GeForce GTX 590 Classified
69,09/05/2011,11/05/2011,"2519,07",283,1,"49,99","49,99",Maria  Yang,Mecabox Info,Inch Midtower Case
180,29/11/2011,03/12/2011,"1806,03",693,1,"61,98","61,98",Emili  Mcdonald,Truing Tecnologia,ATX Motherboard
150,07/10/2011,09/10/2011,"2363,57",589,3,"149,97","49,99",Aladdin  Blackwell,Kaify,Inch Midtower Case
94,18/06/2011,21/06/2011,"541,46",379,3,1197,399,José  Gardner,Kaify,i7-2700K 3.5 GHz LGA 1155 Processor
12,04/02/2011,07/02/2011,"786,42",64,3,"149,97","49,99",José  Gardner,Kaify,Inch Midtower Case
97,27/06/2011,29/06/2011,"1597,55",390,2,"400,4","200,2",Emili  Mcdonald,Truing Tecnologia,PCI Express 2.0 2DVI
50,05/04/2011,07/04/2011,"574,66",220,2,"123,96","61,98",Emili  Mcdonald,Truing Tecnologia,ATX Motherboard
71,13/05/2011,19/05/2011,"1044,58",294,4,"35,96","8,99",José  Gardner,Truing Tecnologia,Cooler Master Red LED Case Fan
151,10/10/2011,12/10/2011,"1282,36",597,2,"400,4","200,2",Maria  Yang,Tadoo,PCI Express 2.0 2DVI
12,04/02/2011,07/02/2011,"786,42",62,2,798,399,Emili  Mcdonald,Mecabox Info,i7-2700K 3.5 GHz LGA 1155 Processor
128,14/08/2011,15/08/2011,"641,97",513,2,"400,4","200,2",Maria  Yang,Mecabox Info,PCI Express 2.0 2DVI
76,28/05/2011,31/05/2011,"2984,6",319,2,"1499,98","749,99",Benedito  Perry,Roozio Informática,GeForce GTX 590 Classified
45,01/04/2011,04/04/2011,"829,18",207,2,"17,98","8,99",Maria  Yang,Agilvee,Cooler Master Red LED Case Fan
170,05/11/2011,08/11/2011,"2604,61",659,2,78,39,Maria  Yang,Kaify,USB Portable Sound Card / Dac
88,12/06/2011,15/06/2011,"898,44",355,2,"400,4","200,2",Maria  Yang,Truing Tecnologia,PCI Express 2.0 2DVI
164,29/10/2011,02/11/2011,"693,48",635,3,"600,6","200,2",Aladdin  Blackwell,Truing Tecnologia,PCI Express 2.0 2DVI
18,14/02/2011,16/02/2011,"774,97",103,3,"600,6","200,2",Maria  Yang,Kaify,PCI Express 2.0 2DVI
70,12/05/2011,15/05/2011,"1380,09",290,4,"247,92","61,98",José  Gardner,Kaify,ATX Motherboard
133,31/08/2011,02/09/2011,"1119,96",527,4,1596,399,Emili  Mcdonald,Kaify,i7-2700K 3.5 GHz LGA 1155 Processor
62,24/04/2011,26/04/2011,"279,99",262,1,"8,99","8,99",Maria  Yang,Digister,Cooler Master Red LED Case Fan
3,15/01/2011,18/01/2011,14228,15,4,"800,8","200,2",Emili  Mcdonald,Digister,PCI Express 2.0 2DVI
180,29/11/2011,03/12/2011,"1806,03",691,5,"3749,95","749,99",Emili  Mcdonald,Tadoo,GeForce GTX 590 Classified
74,23/05/2011,29/05/2011,"375,15",306,5,"309,9","61,98",Aladdin  Blackwell,Mecabox Info,ATX Motherboard
61,23/04/2011,26/04/2011,"986,3",260,2,"17,98","8,99",José  Gardner,Kaify,Cooler Master Red LED Case Fan
30,08/03/2011,14/03/2011,"2676,91",146,3,1197,399,Benedito  Perry,Mecabox Info,i7-2700K 3.5 GHz LGA 1155 Processor
168,03/11/2011,05/11/2011,"3830,29",652,3,"26,97","8,99",Maria  Yang,Truing Tecnologia,Cooler Master Red LED Case Fan
53,08/04/2011,10/04/2011,"1354,55",233,1,"49,99","49,99",Maria  Yang,Truing Tecnologia,Inch Midtower Case
2,11/01/2011,12/01/2011,"2434,29",5,1,"61,98","61,98",Emili  Mcdonald,Truing Tecnologia,ATX Motherboard
102,05/07/2011,08/07/2011,"339,99",415,1,"61,98","61,98",José  Gardner,Kaify,ATX Motherboard
23,26/02/2011,28/02/2011,"2328,94",121,1,"61,98","61,98",Maria  Yang,Kaify,ATX Motherboard
131,29/08/2011,30/08/2011,"1433,13",522,2,"1499,98","749,99",Emili  Mcdonald,Kaify,GeForce GTX 590 Classified
113,19/07/2011,20/07/2011,"3784,84",461,1,"49,99","49,99",Maria  Yang,Tadoo,Inch Midtower Case
13,04/02/2011,07/02/2011,"2755,68",67,1,39,39,Maria  Yang,Spoint Sistemas de Informação,USB Portable Sound Card / Dac
17,14/02/2011,20/02/2011,"380,32",97,1,"8,99","8,99",Maria  Yang,Spoint Sistemas de Informação,Cooler Master Red LED Case Fan
101,04/07/2011,05/07/2011,"2717,09",413,1,"749,99","749,99",Emili  Mcdonald,Truing Tecnologia,GeForce GTX 590 Classified
67,05/05/2011,09/05/2011,"1254,71",278,1,39,39,Emili  Mcdonald,Roozio Informática,USB Portable Sound Card / Dac
168,03/11/2011,05/11/2011,"3830,29",649,1,"61,98","61,98",Maria  Yang,Kaify,ATX Motherboard
32,14/03/2011,16/03/2011,"1005,44",154,2,78,39,Emili  Mcdonald,Spoint Sistemas de Informação,USB Portable Sound Card / Dac
48,04/04/2011,05/04/2011,"729,61",217,1,"49,99","49,99",Emili  Mcdonald,Roozio Informática,Inch Midtower Case
176,22/11/2011,25/11/2011,"570,16",676,2,"17,98","8,99",Aladdin  Blackwell,Kaify,Cooler Master Red LED Case Fan
61,23/04/2011,26/04/2011,"986,3",261,4,"199,96","49,99",Emili  Mcdonald,Kaify,Inch Midtower Case
43,31/03/2011,01/04/2011,"1148,41",196,2,"400,4","200,2",Benedito  Perry,Truing Tecnologia,PCI Express 2.0 2DVI
135,02/09/2011,08/09/2011,"1763,14",534,2,798,399,Maria  Yang,Truing Tecnologia,i7-2700K 3.5 GHz LGA 1155 Processor
104,06/07/2011,10/07/2011,"1784,97",423,1,"8,99","8,99",Emili  Mcdonald,Mecabox Info,Cooler Master Red LED Case Fan
5,16/01/2011,19/01/2011,"410,38",31,1,"61,98","61,98",Emili  Mcdonald,Digister,ATX Motherboard
96,23/06/2011,27/06/2011,"2662,46",387,4,"2999,96","749,99",Emili  Mcdonald,Mecabox Info,GeForce GTX 590 Classified
85,07/06/2011,09/06/2011,"1547,97",344,1,399,399,José  Gardner,Agilvee,i7-2700K 3.5 GHz LGA 1155 Processor
139,18/09/2011,19/09/2011,"2753,41",552,4,"247,92","61,98",Emili  Mcdonald,Kaify,ATX Motherboard
21,22/02/2011,23/02/2011,"2668,66",117,4,"2999,96","749,99",Aladdin  Blackwell,Tadoo,GeForce GTX 590 Classified
6,17/01/2011,18/01/2011,"4784,35",36,1,"200,2","200,2",José  Gardner,Kaify,PCI Express 2.0 2DVI
36,16/03/2011,17/03/2011,"2472,45",175,1,"61,98","61,98",Maria  Yang,Kaify,ATX Motherboard
15,07/02/2011,11/02/2011,"2472,45",91,1,399,399,Emili  Mcdonald,Kaify,i7-2700K 3.5 GHz LGA 1155 Processor
159,25/10/2011,31/10/2011,"356,37",622,1,"61,98","61,98",Maria  Yang,Tadoo,ATX Motherboard
99,29/06/2011,01/07/2011,"2472,45",404,1,"8,99","8,99",Emili  Mcdonald,Digister,Cooler Master Red LED Case Fan
148,04/10/2011,10/10/2011,"2147,47",585,2,"99,98","49,99",Aladdin  Blackwell,Kaify,Inch Midtower Case
66,04/05/2011,05/05/2011,"748,43",276,2,78,39,Emili  Mcdonald,Triloo Assistência Técnica,USB Portable Sound Card / Dac
168,03/11/2011,05/11/2011,"3830,29",647,2,798,399,Maria  Yang,Agilvee,i7-2700K 3.5 GHz LGA 1155 Processor
127,10/08/2011,13/08/2011,"3598,78",507,1,"749,99","749,99",José  Gardner,Truing Tecnologia,GeForce GTX 590 Classified
60,19/04/2011,23/04/2011,"1239,84",253,2,78,39,Maria  Yang,Levester Tecnologia,USB Portable Sound Card / Dac
21,22/02/2011,23/02/2011,"2668,66",118,1,"200,2","200,2",Emili  Mcdonald,Kaify,PCI Express 2.0 2DVI
122,03/08/2011,06/08/2011,"2594,5",489,2,798,399,Maria  Yang,Kaify,i7-2700K 3.5 GHz LGA 1155 Processor
26,01/03/2011,03/03/2011,"2399,8",132,2,"123,96","61,98",Benedito  Perry,Kaify,ATX Motherboard
177,23/11/2011,26/11/2011,"1380,78",678,2,798,399,Emili  Mcdonald,Kaify,i7-2700K 3.5 GHz LGA 1155 Processor
33,14/03/2011,17/03/2011,"3962,28",156,2,"1499,98","749,99",Maria  Yang,Kaify,GeForce GTX 590 Classified
119,28/07/2011,29/07/2011,"347,14",480,2,"400,4","200,2",José  Gardner,Truing Tecnologia,PCI Express 2.0 2DVI
42,31/03/2011,01/04/2011,"266,48",194,2,"1499,98","749,99",Aladdin  Blackwell,Truing Tecnologia,GeForce GTX 590 Classified
175,18/11/2011,22/11/2011,"427,82",668,2,"400,4","200,2",Emili  Mcdonald,Tadoo,PCI Express 2.0 2DVI
131,29/08/2011,30/08/2011,"1433,13",521,3,"149,97","49,99",Maria  Yang,Levester Tecnologia,Inch Midtower Case
188,17/12/2011,18/12/2011,"427,82",716,2,"123,96","61,98",Emili  Mcdonald,Kaify,ATX Motherboard
190,18/12/2011,19/12/2011,"7001,06",725,2,"99,98","49,99",José  Gardner,Truing Tecnologia,Inch Midtower Case
3,15/01/2011,18/01/2011,14228,11,2,798,399,Maria  Yang,Kaify,i7-2700K 3.5 GHz LGA 1155 Processor
106,08/07/2011,12/07/2011,"3850,79",433,1,"749,99","749,99",Emili  Mcdonald,Kaify,GeForce GTX 590 Classified
49,05/04/2011,11/04/2011,"409,2",218,1,39,39,Emili  Mcdonald,Kaify,USB Portable Sound Card / Dac
105,08/07/2011,09/07/2011,"3850,79",427,1,"8,99","8,99",José  Gardner,Kaify,Cooler Master Red LED Case Fan
56,10/04/2011,14/04/2011,"1159,19",242,1,"61,98","61,98",Emili  Mcdonald,Kaify,ATX Motherboard
97,27/06/2011,29/06/2011,"1597,55",388,1,399,399,José  Gardner,Kaify,i7-2700K 3.5 GHz LGA 1155 Processor
185,08/12/2011,11/12/2011,"1570,57",704,1,39,39,José  Gardner,Tadoo,USB Portable Sound Card / Dac
37,16/03/2011,19/03/2011,"462,71",179,2,798,399,Emili  Mcdonald,Spoint Sistemas de Informação,i7-2700K 3.5 GHz LGA 1155 Processor
123,04/08/2011,07/08/2011,"187,88",493,2,798,399,Emili  Mcdonald,Kaify,i7-2700K 3.5 GHz LGA 1155 Processor
167,03/11/2011,06/11/2011,"445,37",644,8,"1601,6","200,2",José  Gardner,Kaify,PCI Express 2.0 2DVI
127,10/08/2011,13/08/2011,"3598,78",509,10,390,39,Maria  Yang,Tadoo,USB Portable Sound Card / Dac
63,26/04/2011,02/05/2011,"3727,53",265,8,"1601,6","200,2",Emili  Mcdonald,Tadoo,PCI Express 2.0 2DVI
77,28/05/2011,29/05/2011,"370,48",321,4,"35,96","8,99",Maria  Yang,Mecabox Info,Cooler Master Red LED Case Fan
58,15/04/2011,16/04/2011,"1965,82",249,9,"449,91","49,99",Emili  Mcdonald,Triloo Assistência Técnica,Inch Midtower Case
86,08/06/2011,14/06/2011,"779,25",351,4,"2999,96","749,99",Emili  Mcdonald,Mecabox Info,GeForce GTX 590 Classified
125,05/08/2011,09/08/2011,"435,92",501,4,156,39,Emili  Mcdonald,Agilvee,USB Portable Sound Card / Dac
137,06/09/2011,07/09/2011,"947,35",546,4,1596,399,José  Gardner,Mecabox Info,i7-2700K 3.5 GHz LGA 1155 Processor
72,17/05/2011,19/05/2011,"947,35",301,4,"247,92","61,98",Maria  Yang,Kaify,ATX Motherboard
99,29/06/2011,01/07/2011,"2472,45",403,1,399,399,Emili  Mcdonald,Truing Tecnologia,i7-2700K 3.5 GHz LGA 1155 Processor
36,16/03/2011,17/03/2011,"2472,45",174,1,"200,2","200,2",Maria  Yang,Truing Tecnologia,PCI Express 2.0 2DVI
153,22/10/2011,25/10/2011,"492,74",605,1,"200,2","200,2",Benedito  Perry,Kaify,PCI Express 2.0 2DVI
15,07/02/2011,11/02/2011,"2472,45",90,1,"49,99","49,99",José  Gardner,Tadoo,Inch Midtower Case
178,25/11/2011,01/12/2011,"2646,8",681,12,4788,399,José  Gardner,Roozio Informática,i7-2700K 3.5 GHz LGA 1155 Processor
68,07/05/2011,10/05/2011,1593,282,12,"107,88","8,99",José  Gardner,Tadoo,Cooler Master Red LED Case Fan
104,06/07/2011,10/07/2011,"1784,97",424,3,"600,6","200,2",Maria  Yang,Kaify,PCI Express 2.0 2DVI
5,16/01/2011,19/01/2011,"410,38",32,3,117,39,José  Gardner,Levester Tecnologia,USB Portable Sound Card / Dac
45,01/04/2011,04/04/2011,"829,18",204,4,"35,96","8,99",José  Gardner,Kaify,Cooler Master Red LED Case Fan
121,31/07/2011,01/08/2011,"174,93",484,7,"5249,93","749,99",José  Gardner,Kaify,GeForce GTX 590 Classified
83,03/06/2011,05/06/2011,"420,91",339,7,2793,399,José  Gardner,Kaify,i7-2700K 3.5 GHz LGA 1155 Processor
73,21/05/2011,23/05/2011,"2748,85",304,12,"599,88","49,99",Aladdin  Blackwell,Kaify,Inch Midtower Case
187,13/12/2011,16/12/2011,"5279,06",712,12,"8999,88","749,99",Maria  Yang,Kaify,GeForce GTX 590 Classified
178,25/11/2011,01/12/2011,"2646,8",685,2,"99,98","49,99",Maria  Yang,Spoint Sistemas de Informação,Inch Midtower Case
173,12/11/2011,13/11/2011,"612,9",664,3,"149,97","49,99",José  Gardner,Levester Tecnologia,Inch Midtower Case
94,18/06/2011,21/06/2011,"541,46",380,1,"8,99","8,99",Maria  Yang,Spoint Sistemas de Informação,Cooler Master Red LED Case Fan
109,13/07/2011,16/07/2011,"3586,51",442,2,"400,4","200,2",Emili  Mcdonald,Agilvee,PCI Express 2.0 2DVI
101,04/07/2011,05/07/2011,"2717,09",411,4,"247,92","61,98",Maria  Yang,Spoint Sistemas de Informação,ATX Motherboard
12,04/02/2011,07/02/2011,"786,42",65,1,"749,99","749,99",Emili  Mcdonald,Kaify,GeForce GTX 590 Classified
158,25/10/2011,27/10/2011,"775,93",620,2,"400,4","200,2",Maria  Yang,Kaify,PCI Express 2.0 2DVI
27,03/03/2011,05/03/2011,"657,93",139,2,"400,4","200,2",Emili  Mcdonald,Kaify,PCI Express 2.0 2DVI
87,12/06/2011,14/06/2011,"83,8",353,4,"35,96","8,99",Maria  Yang,Kaify,Cooler Master Red LED Case Fan
119,28/07/2011,29/07/2011,"347,14",481,2,"17,98","8,99",Emili  Mcdonald,Truing Tecnologia,Cooler Master Red LED Case Fan
17,14/02/2011,20/02/2011,"380,32",98,4,"2999,96","749,99",Benedito  Perry,Kaify,GeForce GTX 590 Classified
28,03/03/2011,06/03/2011,"318,67",140,2,"17,98","8,99",Emili  Mcdonald,Tadoo,Cooler Master Red LED Case Fan
70,12/05/2011,15/05/2011,"1380,09",291,2,"17,98","8,99",José  Gardner,Roozio Informática,Cooler Master Red LED Case Fan
63,26/04/2011,02/05/2011,"3727,53",266,5,1995,399,Maria  Yang,Digister,i7-2700K 3.5 GHz LGA 1155 Processor
97,27/06/2011,29/06/2011,"1597,55",392,5,"44,95","8,99",Maria  Yang,Truing Tecnologia,Cooler Master Red LED Case Fan
6,17/01/2011,18/01/2011,"4784,35",37,2,"99,98","49,99",José  Gardner,Truing Tecnologia,Inch Midtower Case
60,19/04/2011,23/04/2011,"1239,84",255,3,"149,97","49,99",José  Gardner,Kaify,Inch Midtower Case
105,08/07/2011,09/07/2011,"3850,79",430,2,"99,98","49,99",Maria  Yang,Digister,Inch Midtower Case
149,07/10/2011,09/10/2011,"839,4",587,3,1197,399,Aladdin  Blackwell,Tadoo,i7-2700K 3.5 GHz LGA 1155 Processor
91,15/06/2011,18/06/2011,"3135,46",368,6,"1201,2","200,2",Emili  Mcdonald,Kaify,PCI Express 2.0 2DVI
106,08/07/2011,12/07/2011,"3850,79",436,2,798,399,Emili  Mcdonald,Tadoo,i7-2700K 3.5 GHz LGA 1155 Processor
85,07/06/2011,09/06/2011,"1547,97",345,2,"400,4","200,2",Emili  Mcdonald,Kaify,PCI Express 2.0 2DVI
33,14/03/2011,17/03/2011,"3962,28",157,6,"299,94","49,99",Emili  Mcdonald,Levester Tecnologia,Inch Midtower Case
52,07/04/2011,13/04/2011,"11342,3",229,5,195,39,José  Gardner,Spoint Sistemas de Informação,USB Portable Sound Card / Dac
3,15/01/2011,18/01/2011,14228,12,6,"4499,94","749,99",Maria  Yang,Tadoo,GeForce GTX 590 Classified
75,25/05/2011,26/05/2011,"11342,3",313,5,"249,95","49,99",Maria  Yang,Tadoo,Inch Midtower Case
190,18/12/2011,19/12/2011,"7001,06",726,6,"53,94","8,99",Benedito  Perry,Kaify,Cooler Master Red LED Case Fan
84,05/06/2011,06/06/2011,"1931,09",343,1,39,39,José  Gardner,Kaify,USB Portable Sound Card / Dac
187,13/12/2011,16/12/2011,"5279,06",715,5,"309,9","61,98",José  Gardner,Kaify,ATX Motherboard
101,04/07/2011,05/07/2011,"2717,09",414,2,"17,98","8,99",Maria  Yang,Kaify,Cooler Master Red LED Case Fan
53,08/04/2011,10/04/2011,"1354,55",234,4,"247,92","61,98",Emili  Mcdonald,Roozio Informática,ATX Motherboard
146,04/10/2011,06/10/2011,"2056,22",576,4,1596,399,Maria  Yang,Spoint Sistemas de Informação,i7-2700K 3.5 GHz LGA 1155 Processor
6,17/01/2011,18/01/2011,"4784,35",34,4,"247,92","61,98",Emili  Mcdonald,Kaify,ATX Motherboard
88,12/06/2011,15/06/2011,"898,44",356,1,"49,99","49,99",Aladdin  Blackwell,Roozio Informática,Inch Midtower Case
15,07/02/2011,11/02/2011,"2472,45",89,2,78,39,José  Gardner,Agilvee,USB Portable Sound Card / Dac
36,16/03/2011,17/03/2011,"2472,45",173,2,"400,4","200,2",Emili  Mcdonald,Kaify,PCI Express 2.0 2DVI
153,22/10/2011,25/10/2011,"492,74",604,2,"123,96","61,98",Maria  Yang,Kaify,ATX Motherboard
99,29/06/2011,01/07/2011,"2472,45",402,2,798,399,José  Gardner,Kaify,i7-2700K 3.5 GHz LGA 1155 Processor
136,02/09/2011,03/09/2011,"1313,19",541,3,117,39,Emili  Mcdonald,Truing Tecnologia,USB Portable Sound Card / Dac
190,18/12/2011,19/12/2011,"7001,06",727,4,"35,96","8,99",Maria  Yang,Truing Tecnologia,Cooler Master Red LED Case Fan
79,01/06/2011,07/06/2011,957,329,3,1197,399,Emili  Mcdonald,Kaify,i7-2700K 3.5 GHz LGA 1155 Processor
3,15/01/2011,18/01/2011,14228,13,4,"800,8","200,2",José  Gardner,Roozio Informática,PCI Express 2.0 2DVI
178,25/11/2011,01/12/2011,"2646,8",680,6,2394,399,Emili  Mcdonald,Truing Tecnologia,i7-2700K 3.5 GHz LGA 1155 Processor
68,07/05/2011,10/05/2011,1593,281,6,2394,399,José  Gardner,Triloo Assistência Técnica,i7-2700K 3.5 GHz LGA 1155 Processor
22,22/02/2011,23/02/2011,"293,28",119,2,798,399,José  Gardner,Levester Tecnologia,i7-2700K 3.5 GHz LGA 1155 Processor
50,05/04/2011,07/04/2011,"574,66",219,4,"800,8","200,2",Maria  Yang,Digister,PCI Express 2.0 2DVI
97,27/06/2011,29/06/2011,"1597,55",389,4,"2999,96","749,99",Maria  Yang,Digister,GeForce GTX 590 Classified
18,14/02/2011,16/02/2011,"774,97",101,4,"800,8","200,2",Emili  Mcdonald,Mecabox Info,PCI Express 2.0 2DVI
146,04/10/2011,06/10/2011,"2056,22",578,1,"749,99","749,99",Emili  Mcdonald,Kaify,GeForce GTX 590 Classified
164,29/10/2011,02/11/2011,"693,48",633,4,"247,92","61,98",Emili  Mcdonald,Kaify,ATX Motherboard
37,16/03/2011,19/03/2011,"462,71",180,1,"200,2","200,2",Benedito  Perry,Kaify,PCI Express 2.0 2DVI
145,30/09/2011,06/10/2011,"975,84",572,4,"35,96","8,99",Emili  Mcdonald,Truing Tecnologia,Cooler Master Red LED Case Fan
54,08/04/2011,11/04/2011,"3058,98",237,3,"149,97","49,99",Aladdin  Blackwell,Kaify,Inch Midtower Case
124,05/08/2011,08/08/2011,"1681,68",495,3,"2249,97","749,99",Emili  Mcdonald,Truing Tecnologia,GeForce GTX 590 Classified
5,16/01/2011,19/01/2011,"410,38",33,2,"1499,98","749,99",Emili  Mcdonald,Agilvee,GeForce GTX 590 Classified
107,11/07/2011,17/07/2011,"3056,08",437,2,798,399,José  Gardner,Spoint Sistemas de Informação,i7-2700K 3.5 GHz LGA 1155 Processor
188,17/12/2011,18/12/2011,"427,82",717,1,"61,98","61,98",Maria  Yang,Roozio Informática,ATX Motherboard
45,01/04/2011,04/04/2011,"829,18",206,2,"1499,98","749,99",José  Gardner,Kaify,GeForce GTX 590 Classified
175,18/11/2011,22/11/2011,"427,82",669,1,"61,98","61,98",Emili  Mcdonald,Kaify,ATX Motherboard
91,15/06/2011,18/06/2011,"3135,46",369,4,"247,92","61,98",Maria  Yang,Kaify,ATX Motherboard
58,15/04/2011,16/04/2011,"1965,82",248,3,"2249,97","749,99",José  Gardner,Kaify,GeForce GTX 590 Classified
11,30/01/2011,03/02/2011,"943,08",58,3,"149,97","49,99",Maria  Yang,Mecabox Info,Inch Midtower Case
33,14/03/2011,17/03/2011,"3962,28",158,4,"800,8","200,2",Benedito  Perry,Roozio Informática,PCI Express 2.0 2DVI
4,16/01/2011,19/01/2011,"1478,64",23,1,"749,99","749,99",Maria  Yang,Truing Tecnologia,GeForce GTX 590 Classified
113,19/07/2011,20/07/2011,"3784,84",457,2,"400,4","200,2",José  Gardner,Truing Tecnologia,PCI Express 2.0 2DVI
20,18/02/2011,19/02/2011,"1664,54",114,2,78,39,Emili  Mcdonald,Digister,USB Portable Sound Card / Dac
122,03/08/2011,06/08/2011,"2594,5",486,1,"61,98","61,98",Maria  Yang,Roozio Informática,ATX Motherboard
67,05/05/2011,09/05/2011,"1254,71",279,4,156,39,Emili  Mcdonald,Mecabox Info,USB Portable Sound Card / Dac
168,03/11/2011,05/11/2011,"3830,29",650,4,"800,8","200,2",Emili  Mcdonald,Tadoo,PCI Express 2.0 2DVI
182,03/12/2011,07/12/2011,"1040,95",700,2,78,39,Emili  Mcdonald,Levester Tecnologia,USB Portable Sound Card / Dac
116,24/07/2011,26/07/2011,"1428,13",473,1,39,39,Emili  Mcdonald,Kaify,USB Portable Sound Card / Dac
31,13/03/2011,14/03/2011,"298,82",150,1,"749,99","749,99",Emili  Mcdonald,Kaify,GeForce GTX 590 Classified
166,03/11/2011,06/11/2011,"1493,71",642,4,156,39,Emili  Mcdonald,Kaify,USB Portable Sound Card / Dac
